time,E,G
20,150.433637370002,4.48042265441348
40,139.325316625306,15.7788183462626
60,116.785104428277,39.6488780448058
80,91.4075963653814,65.078580493954
100,69.6016043951592,89.3787772031325
120,50.5615630414697,107.463527920051
140,38.0427088543295,121.468573527065
160,28.5417878582459,130.123515400309
180,21.9434992071646,138.248162098335
200,16.7632069064006,142.051174520021
220,12.7013624223509,147.91377750501
240,9.69850970669795,149.060816715077
260,7.71237824656024,152.287162961213
280,5.85349286330418,153.421270767526
300,4.67521641727208,154.897879692146
320,3.76325774442758,156.038090574074
340,3.0639121979431,159.124104148524
360,2.41085402355813,158.228768685856
380,1.94983112889961,159.085920532174
400,1.55169011593187,156.749668485831
420,1.25123181126783,159.650047511679
440,1.08946855277173,159.548131648006
460,0.900170039030639,159.970360358485
480,0.758658996674888,161.707998699133
